variant,quant_bits,model_size_gb,context_length,decode_tps_mean,decode_tps_p50,decode_tps_p90,decode_tps_std,prefill_tps_mean,ttft_mean_s,e2e_mean_s,peak_rss_mb_mean,n_trials
Q2_K,2,1.3,256,5.63,5.22,6.84,0.80,6.98,4.33,27.30,N/A,15
Q2_K,2,1.3,512,4.71,4.50,5.37,0.44,5.89,4.82,32.02,N/A,15
Q2_K,2,1.3,1024,4.27,4.20,4.32,0.37,5.50,5.14,35.08,N/A,15
Q3_K_M,3,1.6,256,4.13,4.05,4.11,0.30,5.35,5.28,36.19,N/A,15
Q3_K_M,3,1.6,512,4.13,4.03,4.17,0.32,5.39,5.22,36.13,N/A,15
Q3_K_M,3,1.6,1024,4.11,4.04,4.14,0.27,5.39,5.25,36.28,N/A,15
Q4_K_M,4,2.0,256,4.79,4.66,5.00,0.36,6.33,4.46,31.13,N/A,15
Q4_K_M,4,2.0,512,4.75,4.66,5.10,0.38,6.40,4.42,31.37,N/A,15
Q4_K_M,4,2.0,1024,4.77,4.66,4.94,0.33,6.40,4.41,31.20,N/A,15
Q6_K,6,2.7,256,3.55,3.50,3.67,0.19,4.45,6.31,32.15,N/A,15
Q6_K,6,2.7,512,3.43,3.49,3.70,0.39,4.31,6.38,34.21,N/A,15
Q6_K,6,2.7,1024,3.56,3.50,3.70,0.18,4.48,6.24,31.95,N/A,15
Q8_0,8,3.4,256,4.73,4.31,5.68,0.69,6.95,4.08,25.02,N/A,15
Q8_0,8,3.4,512,4.64,4.46,5.53,0.59,6.94,4.05,25.00,N/A,15
Q8_0,8,3.4,1024,4.65,4.40,5.53,0.58,6.92,4.05,24.94,N/A,15
F16,16,6.4,256,0.13,0.13,0.13,0.00,1.44,18.73,152.64,N/A,1
