# TABLE 1: Performance Summary by Quantization
Variant,Model Size (GB),Decode TPS (avg),Prefill TPS (avg),Peak Memory (MB)
Q2_K,1.3,40.8,280.1,1331
Q3_K_M,1.9,26.0,276.4,1946
Q4_K_S,2.3,27.8,291.2,2355
Q4_K_M,2.6,31.1,282.9,2662
Q5_K_M,3.2,21.2,263.8,3277
Q6_K,3.8,21.9,278.5,3891
Q8_0,4.8,17.8,298.1,4915

# TABLE 2: Context Length Impact
Variant,Context Length,Decode TPS,Prefill TPS,Memory (MB)
Q2_K,256,63.4,293.3,1331
Q2_K,512,28.3,270.6,1331
Q2_K,1024,40.8,271.6,1331
Q2_K,2048,30.5,284.9,1331
Q3_K_M,256,27.0,277.5,1946
Q3_K_M,512,27.3,274.4,1946
Q3_K_M,1024,23.6,275.9,1946
Q3_K_M,2048,26.1,277.8,1946
Q4_K_S,256,29.9,297.2,2355
Q4_K_S,512,30.6,288.1,2355
Q4_K_S,1024,30.4,292.3,2355
Q4_K_S,2048,20.1,287.2,2355
Q4_K_M,256,32.8,283.3,2662
Q4_K_M,512,31.5,291.4,2662
Q4_K_M,1024,30.5,272.6,2662
Q4_K_M,2048,29.6,284.1,2662
Q5_K_M,256,24.5,269.5,3277
Q5_K_M,512,19.7,259.6,3277
Q5_K_M,1024,20.1,262.1,3277
Q5_K_M,2048,20.6,264.1,3277
Q6_K,256,21.0,280.2,3891
Q6_K,512,21.9,277.7,3891
Q6_K,1024,23.2,276.6,3891
Q6_K,2048,21.3,279.4,3891
Q8_0,256,16.9,299.6,4915
Q8_0,512,18.4,300.4,4915
Q8_0,1024,18.2,297.1,4915
Q8_0,2048,17.8,295.2,4915

# TABLE 3: Statistical Summary
Variant,Mean TPS,StdDev,Min TPS,Max TPS,95% CI
Q2_K,40.8,16.05,28.3,63.4,±15.73
Q3_K_M,26.0,1.68,23.6,27.3,±1.65
Q4_K_S,27.8,5.11,20.1,30.6,±5.01
Q4_K_M,31.1,1.37,29.6,32.8,±1.35
Q5_K_M,21.2,2.21,19.7,24.5,±2.17
Q6_K,21.9,0.97,21.0,23.2,±0.96
Q8_0,17.8,0.67,16.9,18.4,±0.65
